,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
8088,54, ?, Preschool, Married-civ-spouse, ?, Wife, White, Female,40, Mexico,<=50K
1500,37, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,80, United-States,>50K
25992,56, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,36, United-States,>50K
17196,57, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,55, United-States,>50K
21404,37, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States,<=50K
12879,35, Federal-gov, Bachelors, Widowed, Adm-clerical, Not-in-family, White, Male,40, United-States,>50K
5722,27, Private, Assoc-acdm, Never-married, Sales, Own-child, White, Female,40, United-States,<=50K
32541,41, ?, HS-grad, Separated, ?, Not-in-family, Black, Female,32, United-States,<=50K
22797,21, Private, Some-college, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander, Female,20, South,<=50K
16636,42, Private, HS-grad, Never-married, Exec-managerial, Unmarried, Black, Female,25, United-States,<=50K
31321,59, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,>50K
32333,37, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States,>50K
24694,17, ?, 11th, Never-married, ?, Other-relative, White, Female,25, United-States,<=50K
882,27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,70, United-States,<=50K
8099,32, Private, Some-college, Divorced, Handlers-cleaners, Unmarried, Black, Male,40, Nicaragua,<=50K
12885,25, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,43, United-States,<=50K
4058,46, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,>50K
3481,31, Private, 7th-8th, Never-married, Handlers-cleaners, Not-in-family, White, Female,30, Portugal,<=50K
12223,20, Private, Some-college, Never-married, Other-service, Own-child, White, Female,20, United-States,<=50K
27909,27, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States,<=50K
7223,52, Private, HS-grad, Widowed, Sales, Unmarried, White, Female,40, United-States,<=50K
30753,58, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,>50K
1984,60, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States,>50K
29226,17, Private, 10th, Never-married, Sales, Own-child, White, Female,5, United-States,<=50K
14904,28, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Male,40, United-States,<=50K
2237,37, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,55, United-States,>50K
19034,44, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,33, United-States,<=50K
10418,44, Private, Assoc-voc, Divorced, Transport-moving, Not-in-family, White, Male,40, United-States,<=50K
26950,31, State-gov, Masters, Divorced, Exec-managerial, Unmarried, White, Female,50, United-States,>50K
26251,26, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Female,36, United-States,<=50K
15236,20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States,<=50K
18646,48, Private, 5th-6th, Divorced, Machine-op-inspct, Unmarried, Other, Female,40, Dominican-Republic,<=50K
30742,21, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,24, United-States,<=50K
22518,54, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,50, United-States,>50K
18468,34, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States,>50K
13939,35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,30, United-States,<=50K
23367,28, Private, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White, Female,40, United-States,<=50K
9109,27, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,40, United-States,<=50K
6018,23, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,40, United-States,<=50K
25290,51, Self-emp-not-inc, Prof-school, Divorced, Prof-specialty, Not-in-family, White, Male,80, United-States,>50K
6528,63, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States,>50K
27569,38, ?, HS-grad, Divorced, ?, Unmarried, Black, Female,40, United-States,<=50K
21473,74, Self-emp-not-inc, Doctorate, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,25, United-States,>50K
30514,21, Private, Some-college, Never-married, Other-service, Own-child, White, Female,25, United-States,<=50K
7454,34, Private, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States,<=50K
31569,46, Self-emp-not-inc, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Female,45, United-States,<=50K
4904,17, Private, 10th, Never-married, Other-service, Own-child, White, Male,30, United-States,<=50K
31264,28, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,40, United-States,<=50K
12107,32, Federal-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,50, United-States,<=50K
18739,53, Federal-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,60, United-States,>50K
7604,65, Local-gov, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,40, United-States,<=50K
21240,46, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States,>50K
5981,44, Local-gov, HS-grad, Divorced, Transport-moving, Own-child, White, Male,25, United-States,<=50K
16893,54, Local-gov, 9th, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States,<=50K
4874,50, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,38, United-States,>50K
6712,37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,<=50K
1312,20, ?, Some-college, Never-married, ?, Not-in-family, White, Female,25, United-States,<=50K
30591,21, Private, HS-grad, Divorced, Sales, Unmarried, Amer-Indian-Eskimo, Female,38, United-States,<=50K
20013,23, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,30, United-States,<=50K
19645,43, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,48, United-States,<=50K
7783,26, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,55, United-States,<=50K
15569,29, Private, HS-grad, Married-spouse-absent, Tech-support, Own-child, Black, Male,40, United-States,<=50K
21734,49, State-gov, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,20, United-States,<=50K
19516,30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,44, United-States,<=50K
30574,45, State-gov, Bachelors, Separated, Prof-specialty, Not-in-family, White, Female,40, United-States,<=50K
14315,48, Private, 5th-6th, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States,<=50K
23178,47, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,40, Puerto-Rico,<=50K
21214,47, Federal-gov, Bachelors, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,60, United-States,>50K
12447,23, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,40, United-States,<=50K
26317,35, Private, Assoc-voc, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States,>50K
31315,27, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,40, United-States,<=50K
24410,38, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female,24, United-States,<=50K
24274,67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,58, United-States,>50K
1482,53, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,>50K
32263,27, Private, HS-grad, Never-married, Craft-repair, Other-relative, Other, Male,40, Nicaragua,<=50K
19087,31, Self-emp-not-inc, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,55, United-States,<=50K
9272,29, Private, Some-college, Never-married, Sales, Own-child, White, Female,40, United-States,<=50K
25721,40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,<=50K
13061,40, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, Mexico,<=50K
14863,38, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,48, United-States,>50K
22672,50, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States,<=50K
32471,28, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Male,50, United-States,<=50K
2188,29, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,30, United-States,<=50K
4631,19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,20, United-States,<=50K
8097,39, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,18, United-States,>50K
17622,40, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States,>50K
27073,51, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female,10, United-States,>50K
27009,20, ?, 10th, Never-married, ?, Not-in-family, White, Female,30, United-States,<=50K
17866,21, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,35, United-States,<=50K
18652,17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,15, United-States,<=50K
295,65, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,16, United-States,<=50K
25304,39, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,55, United-States,<=50K
26428,34, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States,<=50K
25116,29, Private, Some-college, Separated, Handlers-cleaners, Not-in-family, Black, Male,42, United-States,<=50K
27289,55, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,35, India,<=50K
14218,47, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,40, Mexico,<=50K
8289,42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,<=50K
27850,31, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,40, United-States,<=50K
22908,30, Private, Some-college, Married-spouse-absent, Exec-managerial, Unmarried, White, Female,45, United-States,<=50K
17165,44, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,80, United-States,<=50K
10977,50, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,40, United-States,<=50K
10023,49, Private, Bachelors, Never-married, Priv-house-serv, Not-in-family, White, Male,25, United-States,<=50K
20164,53, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,60, United-States,>50K
11879,43, Private, 10th, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States,<=50K
16578,48, Local-gov, Masters, Never-married, Prof-specialty, Unmarried, White, Female,40, United-States,<=50K
30168,32, Private, Assoc-acdm, Never-married, Sales, Not-in-family, Black, Female,46, Trinadad&Tobago,<=50K
1584,48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,50, United-States,<=50K
1499,19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States,<=50K
19470,43, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,40, United-States,>50K
20143,23, Private, Assoc-voc, Never-married, Exec-managerial, Own-child, White, Male,40, United-States,<=50K
11759,56, Private, HS-grad, Divorced, Craft-repair, Other-relative, White, Male,40, United-States,<=50K
27742,22, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,40, Mexico,<=50K
28528,38, Private, Prof-school, Never-married, Exec-managerial, Not-in-family, White, Male,40, United-States,>50K
30374,42, State-gov, Masters, Divorced, Prof-specialty, Not-in-family, White, Male,40, United-States,<=50K
32120,24, Federal-gov, Some-college, Never-married, Exec-managerial, Own-child, White, Male,40, United-States,<=50K
12703,69, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,36, United-States,<=50K
32486,24, Private, Some-college, Married-civ-spouse, Other-service, Own-child, Asian-Pac-Islander, Female,35, United-States,<=50K
6848,63, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,48, United-States,<=50K
17051,61, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,35, United-States,>50K
31544,39, Private, 10th, Divorced, Other-service, Unmarried, Black, Female,40, United-States,<=50K
19980,22, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,48, Mexico,<=50K
24700,27, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,40, United-States,<=50K
16215,48, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States,<=50K
809,20, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,30, United-States,<=50K
9383,28, Private, Bachelors, Never-married, Sales, Unmarried, White, Male,65, United-States,<=50K
25464,24, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States,<=50K
3782,66, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,20, United-States,<=50K
23347,34, Private, Assoc-acdm, Never-married, Sales, Unmarried, White, Male,50, United-States,<=50K
20205,52, ?, Masters, Married-civ-spouse, ?, Wife, White, Female,40, United-States,>50K
26372,41, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,40, Peru,<=50K
221,64, ?, 1st-4th, Divorced, ?, Not-in-family, White, Male,40, United-States,<=50K
27960,33, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,45, United-States,<=50K
16604,73, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,99, United-States,>50K
1783,39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States,>50K
10802,52, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States,<=50K
20325,24, Private, 11th, Never-married, Transport-moving, Own-child, White, Male,39, United-States,<=50K
24947,36, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Male,45, United-States,<=50K
18071,17, Private, 9th, Never-married, Other-service, Unmarried, White, Male,20, United-States,<=50K
2345,29, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,>50K
20727,20, Private, Some-college, Never-married, Sales, Own-child, Black, Female,14, United-States,<=50K
2931,43, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,35, United-States,<=50K
13719,24, Local-gov, Some-college, Never-married, Protective-serv, Own-child, White, Female,40, United-States,<=50K
26159,61, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States,<=50K
15064,20, ?, Some-college, Never-married, ?, Own-child, White, Female,10, United-States,<=50K
7622,35, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States,<=50K
14651,43, Local-gov, HS-grad, Divorced, Tech-support, Not-in-family, Black, Female,40, United-States,<=50K
23721,27, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,40, United-States,>50K
19791,47, Local-gov, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,56, United-States,>50K
1213,54, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, United-States,>50K
14159,90, Local-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,20, Philippines,<=50K
4172,46, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,40, ?,>50K
24684,40, Private, Bachelors, Widowed, Exec-managerial, Unmarried, White, Female,40, United-States,<=50K
7070,30, Private, Preschool, Never-married, Farming-fishing, Not-in-family, White, Male,40, Mexico,<=50K
22381,48, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,40, United-States,<=50K
31198,30, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States,>50K
11009,31, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,40, United-States,<=50K
32559,22, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,20, United-States,<=50K
25299,40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,<=50K
1342,47, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Male,40, United-States,<=50K
1765,49, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,20, United-States,>50K
9385,18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,25, United-States,<=50K
13463,42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,60, United-States,>50K
30950,45, State-gov, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,38, United-States,>50K
21290,53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States,<=50K
25998,43, Local-gov, Some-college, Separated, Craft-repair, Not-in-family, Black, Male,40, United-States,<=50K
3131,25, ?, Some-college, Never-married, ?, Own-child, Black, Male,40, ?,<=50K
6619,33, State-gov, Some-college, Separated, Adm-clerical, Own-child, Black, Male,35, United-States,<=50K
12865,59, Private, Masters, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Female,35, Philippines,<=50K
14574,68, ?, 7th-8th, Widowed, ?, Not-in-family, White, Female,15, United-States,<=50K
32060,57, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,30, United-States,<=50K
23198,40, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States,<=50K
29605,61, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,42, United-States,<=50K
16994,17, Private, 11th, Never-married, Other-service, Own-child, Black, Male,20, United-States,<=50K
21698,32, ?, 12th, Never-married, ?, Own-child, Black, Female,40, United-States,<=50K
2953,34, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Black, Male,30, United-States,<=50K
28648,46, Federal-gov, Assoc-voc, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,60, United-States,<=50K
28669,57, Private, Doctorate, Married-civ-spouse, Tech-support, Husband, White, Male,40, Germany,>50K
28485,30, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,50, United-States,<=50K
11104,27, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States,<=50K
22937,39, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,45, United-States,>50K
10361,19, ?, Some-college, Never-married, ?, Own-child, White, Female,35, United-States,<=50K
20338,53, Local-gov, HS-grad, Widowed, Other-service, Not-in-family, White, Female,30, United-States,<=50K
570,24, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,40, United-States,<=50K
24296,54, Private, 5th-6th, Married-spouse-absent, Other-service, Unmarried, Black, Female,30, Haiti,<=50K
11434,46, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States,>50K
12386,28, Local-gov, Bachelors, Never-married, Prof-specialty, Other-relative, White, Male,50, United-States,<=50K
10363,65, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,36, United-States,<=50K
9897,76, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,24, United-States,<=50K
31340,24, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,<=50K
3514,39, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,45, United-States,<=50K
6889,49, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,35, United-States,<=50K
6952,46, Self-emp-inc, Assoc-voc, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,63, Thailand,<=50K
14844,55, State-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,37, United-States,<=50K
8343,21, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,40, United-States,<=50K
26040,29, ?, HS-grad, Never-married, ?, Not-in-family, White, Male,40, United-States,<=50K
7430,56, Private, 10th, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States,<=50K
14178,71, ?, HS-grad, Widowed, ?, Not-in-family, White, Female,40, United-States,<=50K
6229,36, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,40, United-States,<=50K
8024,22, Private, HS-grad, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,40, United-States,<=50K
9866,61, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, ?,>50K
25959,56, Private, 7th-8th, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States,<=50K
18560,80, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,8, United-States,<=50K
21630,61, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,20, United-States,<=50K
14252,24, Private, Bachelors, Never-married, Prof-specialty, Own-child, Black, Female,35, United-States,<=50K
28654,31, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,40, Ireland,<=50K
15859,22, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,40, United-States,<=50K
11045,46, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,<=50K
3745,25, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,30, United-States,<=50K
26516,43, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,60, Nicaragua,<=50K
8115,25, Private, HS-grad, Separated, Other-service, Unmarried, Black, Male,40, United-States,<=50K
17787,41, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States,>50K
16934,42, Self-emp-not-inc, Assoc-acdm, Divorced, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,35, United-States,<=50K
2028,44, Federal-gov, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States,<=50K
19532,27, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,36, ?,<=50K
19727,38, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,45, ?,>50K
11859,30, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,30, United-States,<=50K
7776,27, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,40, United-States,<=50K
13344,20, Private, 12th, Never-married, Sales, Not-in-family, White, Female,55, United-States,<=50K
7431,46, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,30, United-States,<=50K
7416,46, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,44, United-States,>50K
27119,50, Local-gov, Masters, Divorced, Prof-specialty, Unmarried, White, Female,65, United-States,<=50K
28302,50, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,40, United-States,<=50K
25056,18, ?, HS-grad, Never-married, ?, Own-child, White, Female,60, United-States,<=50K
30358,61, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States,<=50K
31093,45, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States,>50K
2834,29, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,40, Japan,<=50K
28792,39, Private, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Male,45, United-States,<=50K
19065,31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,35, United-States,<=50K
7860,30, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,38, United-States,<=50K
13000,50, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States,<=50K
8870,22, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,40, United-States,<=50K
5745,27, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,48, United-States,<=50K
6895,21, Private, Some-college, Never-married, Sales, Own-child, White, Female,25, United-States,<=50K
18960,45, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Male,45, United-States,>50K
1006,66, Private, HS-grad, Separated, Machine-op-inspct, Not-in-family, Black, Male,40, United-States,<=50K
1346,61, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, Germany,>50K
22534,21, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Female,36, United-States,<=50K
13916,69, Local-gov, 10th, Married-civ-spouse, Transport-moving, Husband, White, Male,25, United-States,<=50K
20889,51, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States,>50K
31575,18, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States,<=50K
32108,20, Private, Some-college, Never-married, Other-service, Other-relative, Asian-Pac-Islander, Male,30, United-States,<=50K
3945,38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States,>50K
30915,28, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,20, United-States,<=50K
23760,51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,>50K
18690,34, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,50, United-States,<=50K
30011,51, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,84, United-States,>50K
22773,41, Self-emp-inc, 9th, Married-civ-spouse, Sales, Wife, White, Female,70, Dominican-Republic,<=50K
20624,35, Private, 11th, Married-civ-spouse, Sales, Husband, White, Male,65, United-States,<=50K
3193,33, Private, 12th, Divorced, Machine-op-inspct, Unmarried, Black, Female,40, United-States,<=50K
8637,25, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,30, United-States,<=50K
32213,28, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,30, ?,<=50K
30406,28, Private, 11th, Divorced, Other-service, Unmarried, White, Female,40, United-States,<=50K
8356,37, Private, 12th, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,33, ?,<=50K
521,50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States,>50K
2516,25, Private, 12th, Married-civ-spouse, Other-service, Wife, White, Female,40, United-States,<=50K
15802,44, Local-gov, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,50, United-States,<=50K
25237,32, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,48, United-States,<=50K
11384,34, Private, Prof-school, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Male,40, India,>50K
31486,41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Female,35, Haiti,>50K
6498,38, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Male,40, United-States,<=50K
4665,35, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,30, United-States,<=50K
26315,30, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,60, United-States,<=50K
4803,27, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,35, Philippines,<=50K
811,22, ?, Some-college, Never-married, ?, Own-child, Black, Male,40, United-States,<=50K
10647,42, Local-gov, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,43, ?,>50K
15805,49, Local-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,10, United-States,<=50K
21858,36, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States,<=50K
8586,23, Private, Some-college, Separated, Craft-repair, Own-child, White, Male,40, United-States,<=50K
30703,34, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States,<=50K
15644,35, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,65, Hong,>50K
19442,44, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,48, United-States,<=50K
2534,34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,50, United-States,<=50K
31822,32, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,40, United-States,<=50K
17127,51, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,45, United-States,<=50K
